Image name & no.,Estate,Name,Vintage,Volume [ml],Lot Size,Picked,Recorked,Authentication code,Packaging,Wine Description (Highlights of vintage),Rating 1,Rating 2,Rating 3
30,Château d'Yquem,Sauternes,1938,750,1,Yes,Yes,472,OWC,,Wine Spectator - 95/100,,
31,Château d'Yquem,Sauternes,1938,750,1,Yes,No,422,OWC,,Wine Spectator - 95/100,,
32,Château d'Yquem,Sauternes,1939,750,1,Yes,Yes,252,,,Jancis Robinson - 19/20,Wine Advocate - 90/100,
33,Château d'Yquem,Sauternes,1940,750,1,Yes,Yes,470,OWC,,,,
34,Château d'Yquem,Sauternes,1940,750,1,Yes,Yes,488,OWC,,,,
35,Château d'Yquem,Sauternes,1941,750,1,Yes,Yes,429,OWC,,Wine Spectator - 91/100,,
36,Château d'Yquem,Sauternes,1941,750,1,Yes,Yes,446,OWC,,Wine Spectator - 91/100,,
37,Château d'Yquem,Sauternes,1942,750,1,Yes,Yes,227,OWC,,,,
38,Château d'Yquem,Sauternes,1942,750,1,Yes,No,492,OWC,,,,
39,Château d'Yquem,Sauternes,1943,750,1,Yes,Yes,409,OWC,,Jancis Robinson - 18/20,Vinous - 92/100,
40,Château d'Yquem,Sauternes,1944,750,1,Yes,No,425,OWC,,Jancis Robinson - 18/20,,
41,Château d'Yquem,Sauternes,1945,750,1,Yes,Yes,397,OWC,Perfect 100 point score by Robert Parker.,Jancis Robinson - 20/20,Wine Advocate - 100/100,
42,Château d'Yquem,Sauternes,1946,750,1,Yes,No,421,OWC,,,,
43,Château d'Yquem,Sauternes,1947,750,1,Yes,Yes - 1992,494,OWC,,Jancis Robinson - 19/20,Wine Advocate - 96/100,
44,Château d'Yquem,Sauternes,1948,750,1,Yes,Yes,228,OWC,,Jancis Robinson - 19.5/20,,
45,Château d'Yquem,Sauternes,1949,750,1,Yes,Yes - 1992,501,OWC,,Jancis Robinson - 19.5/20,Wine Spectator - 94/100,
46,Château d'Yquem,Sauternes,1949,750,1,Yes,Yes - 1992,489,OWC,,Jancis Robinson - 19.5/20,Wine Spectator - 94/100,
47,Château d'Yquem,Sauternes,1954,750,1,Yes,Yes - 1995,461,OWC,,Jancis Robinson - 19/20,,
48,Château d'Yquem,Sauternes,1955,750,1,Yes,No,450,OWC,,Jancis Robinson - 20/20,Vinous - 97/100,
49,Château d'Yquem,Sauternes,1955,750,1,Yes,Yes,404,OWC,,Jancis Robinson - 20/20,Vinous - 97/100,
50,Château d'Yquem,Sauternes,1956,750,1,Yes,Yes - 1995,225,OWC,,Wine Spectator - 90/100,,
51,Château d'Yquem,Sauternes,1957,750,1,Yes,Yes,415,OWC,,Jancis Robinson - 18.5/20,,
52,Château d'Yquem,Sauternes,1957,750,1,Yes,Yes,448,OWC,,Jancis Robinson - 18.5/20,,
53,Château d'Yquem,Sauternes,1959,750,1,Yes,No,438,OWC,,Jancis Robinson - 19.5/20,Wine Spectator - 97/100,
54,Château d'Yquem,Sauternes,1959,750,1,Yes,Yes - 1993,396,OWC,,Jancis Robinson - 19.5/20,Wine Spectator - 97/100,
55,Château d'Yquem,Sauternes,1962,750,1,Yes,Yes - 1995,500,OWC,,Jancis Robinson - 18/20,Vinous - 92/100,Robert Parker - 90/100
56,Château d'Yquem,Sauternes,1967,750,1,Yes,No,418,OWC,,Wine Spectator - 100/100,Wine Advocate - 99/100,Jancis Robinson - 19/20
57,Château d'Yquem,Sauternes,1967,750,1,Yes,No,248,,,Wine Spectator - 100/100,Wine Advocate - 99/100,Jancis Robinson - 19/20
58,Château d'Yquem,Sauternes,1967,750,1,Yes,No,249,,,Wine Spectator - 100/100,Wine Advocate - 99/100,Jancis Robinson - 19/20
59,Château d'Yquem,Sauternes,1967,750,1,Yes,No,246,,,Wine Spectator - 100/100,Wine Advocate - 99/100,Jancis Robinson - 19/20
60,Château d'Yquem,Sauternes,1970,750,1,Yes,No,503,OWC,,Jancis Robinson - 17/20,,
61,Château d'Yquem,Sauternes,1971,750,1,Yes,No,432,OWC,,Wine Advocate - 97/100,Wine Spectator - 93/100,
62,Château d'Yquem,Sauternes,1975,750,1,Yes,No,444,OWC,,Jancis Robinson - 20/20,Wine Advocate - 99/100,Decanter - 96/100
63,Château d'Yquem,Sauternes,1976,750,1,Yes,No,254,,,Wine Advocate - 96/100,Jancis Robinson - 18.5/20,
64,Château d'Yquem,Sauternes,1976,750,1,Yes,No,257,,,Wine Advocate - 96/100,Jancis Robinson - 18.5/20,
