Name,Description,Image,Token ID,Volume (ml),Vintage,Recorked,Authentication Code,Rating 1,Rating 2,Rating 3,URL
Domaine de la Romanée-Conti La Tâche 2007,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/38.png,37,750,2007,No,2527,Decanter - 96/100,Wine Advocate - 96/100,Vinous - 96/100,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/37
Domaine de la Romanée-Conti La Tâche 2007,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/39.png,38,750,2007,No,2528,Decanter - 96/100,Wine Advocate - 96/100,Vinous - 96/100,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/38
Domaine de la Romanée-Conti La Tâche 2007,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/40.png,39,750,2007,No,2529,Decanter - 96/100,Wine Advocate - 96/100,Vinous - 96/100,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/39
Domaine de la Romanée-Conti La Tâche 2007,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/41.png,40,750,2007,No,2530,Decanter - 96/100,Wine Advocate - 96/100,Vinous - 96/100,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/40
Domaine de la Romanée-Conti La Tâche 2007,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/42.png,41,750,2007,No,2531,Decanter - 96/100,Wine Advocate - 96/100,Vinous - 96/100,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/41
Domaine de la Romanée-Conti La Tâche 2007,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/43.png,42,750,2007,No,2532,Decanter - 96/100,Wine Advocate - 96/100,Vinous - 96/100,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/42
Domaine de la Romanée-Conti La Tâche 2011,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/44.png,43,750,2011,No,1496,Decanter - 98/100,Vinous - 96+/100,Jancis Robinson - 18.5+/20,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/43
Domaine de la Romanée-Conti La Tâche 2012,One of the top scoring vintages.,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/45.png,44,750,2012,No,2515,Decanter - 98/100,Vinous - 97/100,Jancis Robinson - 18.5++/20,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/44
Domaine de la Romanée-Conti La Tâche 2012,One of the top scoring vintages.,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/46.png,45,750,2012,No,2516,Decanter - 98/100,Vinous - 97/100,Jancis Robinson - 18.5++/20,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/45
Domaine de la Romanée-Conti La Tâche 2012,One of the top scoring vintages.,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/47.png,46,750,2012,No,2517,Decanter - 98/100,Vinous - 97/100,Jancis Robinson - 18.5++/20,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/46
