Name,Description,Image,Token ID,Volume (ml),Vintage,Recorked,Authentication Code,Rating 1,Rating 2,Rating 3,URL
Château d'Yquem Sauternes 1989,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/85.png,84,750,1989,No,445,Jancis Robinson - 19/20,Wine Advocate - 97/100,Wine Spectator - 97/100,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/84
Château d'Yquem Sauternes 1990,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/86.png,85,750,1990,No,431,Jancis Robinson - 20/20,Wine Advocate - 98/100,Decanter - 98/100,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/85
Château d'Yquem Sauternes 1990,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/87.png,86,750,1990,No,486,Jancis Robinson - 20/20,Wine Advocate - 98/100,Decanter - 98/100,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/86
Château d'Yquem Sauternes 1991,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/88.png,87,750,1991,No,428,Vinous - 91/100,Wine Advocate - 91/100,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/87
Château d'Yquem Sauternes 1991,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/89.png,88,750,1991,No,435,Vinous - 91/100,Wine Advocate - 91/100,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/88
Château d'Yquem Sauternes 1993,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/90.png,89,750,1993,No,401,Jancis Robinson - 16.5/20,,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/89
Château d'Yquem Sauternes 1993,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/91.png,90,750,1993,No,439,Jancis Robinson - 16.5/20,,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/90
Château d'Yquem Sauternes 1994,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/92.png,91,750,1994,No,420,Jancis Robinson - 16/20,,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/91
Château d'Yquem Sauternes 1996,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/93.png,92,750,1996,No,133,Jancis Robinson - 18.5/20,Robert Parker - 95/100,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/92
Château d'Yquem Sauternes 1996,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/94.png,93,750,1996,No,134,Jancis Robinson - 18.5/20,Robert Parker - 95/100,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/93
